Question,Option A,Option B,Option C,Option D,Answer
"Grand Central Terminal, Park Avenue, New York is the world's",largest railway station,highest railway station,longest railway station,None of the above,A
Entomology is the science that studies,Behavior of human beings,Insects,The origin and history of technical and scientific terms,The formation of rocks,B
"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of",Asia,Africa,Europe,Australia,B
Garampani sanctuary is located at,"Junagarh, Gujarat","Diphu, Assam","Kohima, Nagaland","Gangtok, Sikkim",B
For which of the following disciplines is Nobel Prize awarded?,Physics and Chemistry,Physiology or Medicine,"Literature, Peace and Economics",All of the above,D
Hitler party which came into power in 1933 is known as,Labour Party,Nazi Party,Ku-Klux-Klan,Democratic Party,B
FFC stands for,Foreign Finance Corporation,Film Finance Corporation,Federation of Football Council,None of the above,B
Fastest shorthand writer was,Dr,J,J,Khudada Khan,A
Epsom (England) is the place associated with,Horse racing,Polo,Shooting,Snooker,A
"First human heart transplant operation conducted by Dr. Christiaan Barnard on Louis Washkansky, was conducted in",1967,1968,1958,1922,A
Galileo was an Italian astronomer who,developed the telescope,discovered four satellites of Jupiter,discovered that the movement of pendulum produces a regular time measurement,All of the above,D
Habeas Corpus Act 1679,states that no one was to be imprisoned without a writ or warrant stating the charge against him,provided facilities to a prisoner to obtain either speedy trial or release in bail,safeguarded the personal liberties of the people against arbitrary imprisonment by the king's orders,All of the above,D
Exposure to sunlight helps a person improve his health because,the infrared light kills bacteria in the body,resistance power increases,the pigment cells in the skin get stimulated and produce a healthy tan,the ultraviolet rays convert skin oil into Vitamin D,D
Golf player Vijay Singh belongs to which country?,USA,Fiji,India,UK,B
"Guarantee to an exporter that the importer of his goods will pay immediately for the goods ordered by him, is known as",Letter of Credit (L/C),laissezfaire,inflation,None of the above,A
First Afghan War took place in,1839,1843,1833,1848,A
Gulf cooperation council was originally formed by,"Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates",Second World Nations,Third World Nations,Fourth World Nations,A
First China War was fought between,China and Britain,China and France,China and Egypt,China and Greek,A
Dumping is,selling of goods abroad at a price well below the production cost at the home market price,"the process by which the supply of a manufacture's product remains low in the domestic market, which batches him better price",prohibited by regulations of GATT,All of the above,D
"For the Olympics and World Tournaments, the dimensions of basketball court are",26 m x 14 m,28 m x 15 m,27 m x 16 m,28 m x 16 m,B
"Federation Cup, World Cup, Allywyn International Trophy and Challenge Cup are awarded to winners of",Tennis,Volleyball,Basketball,Cricket,B
Each year World Red Cross and Red Crescent Day is celebrated on,May 8,May 18,June 8,June 18,A
Famous sculptures depicting art of love built some time in 950 AD – 1050 AD are,Khajuraho temples,Jama Masjid,Sun temple,Mahabalipuram temples,A
Gravity setting chambers are used in industries to remove,SOx,NOx,suspended particulate matter,CO,C
Guwahati High Court is the judicature of,Nagaland,Arunachal Pradesh,Assam,All of the above,D
